Index,Location,Name,Category,Time,Image,url,Timings
15,T3,Beard Papa's,Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Beard+Papa+Singapore/@1.3563291,103.9803197,15z/data=!4m8!1m2!2m1!1sBeard+Papa's+T3!3m4!1s0x31da3c8cfa0feeff:0xa06bbf3f46fba0a2!8m2!3d1.356716!4d103.98651",10 AM - 11 PM
16,Jewel,Beauty in the Pot,Hotpot,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Beauty+In+The+Pot/@1.3596527,103.9896771,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3c8c09026379:0x7128e9144cf10a89!8m2!3d1.3596527!4d103.9896771",10 AM - 11 PM
17,Jewel,Big Bird,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Big+Bird/@1.3601515,103.9873741,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sBig+Bird+Jewel+changi+airport!3m4!1s0x31da3c8bd9bc2d57:0xd27dafaacb6021bb!8m2!3d1.3601515!4d103.9895628",7 AM - 12 AM
18,T3,Bikanervala,Indian,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=16749917869595933353,7 AM - 12 AM
19,Jewel,Birds of Paradise,Desert,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Birds+of+Paradise/@1.3606855,103.9865453,17.59z/data=!4m8!1m2!2m1!1sbirds+of+paradise+jewel+changi+airport!3m4!1s0x0:0x16c9ea49ac95a6e5!8m2!3d1.3600104!4d103.9896519",12 PM - 11 PM
20,T2,Boost Juice Bars,Juice Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Boost+Juice+Bars/@1.3557816,103.9879457,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8e7942eadb:0xdcf6a444a9bf67b6!8m2!3d1.3557816!4d103.9901344",6 AM - 1 AM
21,Jewel,Boost Juice Bars,Juice Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Boost+Juice+Bars/@1.3543381,103.985422,15.26z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sBoost+Juice+Bars+Jewel+changi+airport!3m4!1s0x0:0x1d2fb79ba1af275e!8m2!3d1.3603503!4d103.9894661",7 AM - 12 AM
22,T2,Bowl Thai,Thai,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3549988/103.9891359/-67,6 AM - 1 AM
23,Jewel,Burger & Lobster,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Burger+%26+Lobster+Jewel+Changi+Airport/@1.360448,103.9900433,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872f4d1d33a!4m5!3m4!1s0x31da3c897c46179b:0xdabd35e8ea973e14!8m2!3d1.360448!4d103.9900433",10 AM - 12 AM
24,T1,Burger King,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=11530504002253391373,Open 24 hours
