Index,Location,Name,Category,Time,Image,url,Timings
67,Jewel,Hawker,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3602721/103.9894714/-67,7 AM - 12 AM
68,T3,Heavenly Wang,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Heavenly+Wang+@+Changi+Airport+Terminal+3+Arrival+Hall/@1.3555805,103.9861962,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8cfa0feeff:0xd672876bdaa1394b!8m2!3d1.3555805!4d103.9861962",Open 24 hours
69,T4,Heavenly Wang,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Heavenly+Wang/@1.3384244,103.9661714,14z/data=!4m8!1m2!2m1!1sHeavenly+Wang+T4+!3m4!1s0x31da3ceaa5476b87:0x3bfae1fbd3920520!8m2!3d1.3384244!4d103.9836809",Open 24 hours
70,Jewel,Heritage,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/en/dine/dining-directory/huiyi.html,10 AM - 12 AM
71,T3,Hokkaido Baked Cheese Tart,Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Hokkaido+Baked+Cheese+Tart/@1.3555805,103.9861962,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d22f6fcd509:0x8ab5b639c5747868!8m2!3d1.3555805!4d103.9861962",1030 AM - 11 PM
72,T2,Hong Kong Sheng Kee Dessert,Cantonese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=18001726981945222911,6 AM - 1 AM
73,T1,Hops Bar,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#19.28/1.3631299/103.9893214/-67,Open 24 hours
74,Jewel,Hoshino Coffee,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Hoshino+Coffee/@1.3599984,103.9873002,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sHoshino+Coffee+Jewel+changi+airport!3m4!1s0x31da3c8bd95a672b:0x94c8a6c6ebce628!8m2!3d1.3599984!4d103.9894889",10 AM - 10 PM
75,Jewel,Hot Tomato,Western,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Hot+Tomato/@1.3605539,103.9873652,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sHot+Tomato+Jewel+changi+airport!3m4!1s0x31da3d1fc5c1b07f:0x2308b356581e5658!8m2!3d1.3605539!4d103.9895539",10 AM - 10 PM
76,T3,Hudsons Coffee,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Hudsons+Coffee+Terminal+3+Changi/@1.3561766,103.9833658,17z/data=!4m8!1m2!2m1!1sHudsons+Coffee+T3+!3m4!1s0x31da3db321e5ddc7:0xffe7da060af6c280!8m2!3d1.3561766!4d103.9855545",Open 24 hours
77,T1,I Love Taimei,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=1190067100500786498,6 AM - 12 AM
78,Jewel,I Love Taimei,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/I+Love+Taimei/@1.3598341,103.9892267,18.17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3dbe79dab6c1:0x1083f7b9003a7d42!8m2!3d1.3602256!4d103.989453",10 AM - 12 AM
79,Jewel,Icenoie Hokkaido,Ice Cream,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Icenoie+Hokkaido/@1.3604066,103.9893767,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3dfc12910435:0x62ea01e16d2ec035!8m2!3d1.3604066!4d103.9893767",7 AM - 12 AM
80,T4,International Food Hall,Multiple,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/INTERNATIONAL+FOOD+HALL/@1.338808,103.9815213,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc75e905be7:0xdddc91a9bdbacfb!8m2!3d1.338808!4d103.98371",Open 24 hours
81,T1,Ippudo Express,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=5030821339130205377,6 AM -12 PM
82,T2,Ippudo Express,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=5030821339130205377,6 AM - 1 AM
83,Jewel,Itacho Sushi,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Itacho+Sushi/@1.3579003,103.9880775,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sItacho+Sushi+Jewel+changi+airport!3m4!1s0x31da3c89624154bf:0x694d3378f4fa3a3b!8m2!3d1.3600401!4d103.9899589",10 AM - 11 PM
84,Jewel,Jack's Place,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Jack%E2%80%99s+Place/@1.3602752,103.9880183,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sJack's+Place+Jewel+changi+airport!3m4!1s0x31da3c897b574e8b:0x43257730ed72bc13!8m2!3d1.3602752!4d103.990207",10 AM - 10 PM
85,T1,Japan Gourmet Hall Sora,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=13646590640339918257,10 AM - 11 PM
86,T2,Japan Gourmet Hall Sora,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=2106775217620010865,10 AM - 11 PM
87,Jewel,Japanese Soba Noodles Tsuta,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tsuta+Japanese+Soba+Noodles/@1.3063697,103.7621449,12z/data=!4m8!1m2!2m1!1sJapanese+Soba+Noodles+Tsuta+Jewel+changi+airport!3m4!1s0x31da198d6ec9ff33:0x5f2576ada639d0c3!8m2!3d1.3063697!4d103.8321827",10 AM - 10 PM
88,T1,Jewel Coffee,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3611336/103.989406/-67,Open 24 hours
89,T2,Jinjja Chicken,Korean,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=10136205376393726653,Open 24 hours
90,Jewel,Jinjja Chicken,Korean,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/JINJJA+Chicken/@1.3602544,103.987289,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sJinjja+Chicken+Tsuta+Jewel+changi+airport!3m4!1s0x31da3dd4069b4937:0x8cab0915fe5a4abd!8m2!3d1.3602544!4d103.9894777",10 AM - 10 PM
91,T3,Jollibean,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=14961499770793132688,7 AM - 11 PM
92,Jewel,Juewei,Chinese,2-3 hours,http://nowboarding.changiairport.com/content/canowboarding/en/discover-changi/24-hour-eateries-at-Jewel-Changi-Airport.img.png/x1562724123196.jpg.pagespeed.ic.dJHrp9tti9.webp,"https://www.google.com/maps/place/Jewel+Changi+Airport/@1.3602201,103.9897834,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da17be147e79c3:0xb809d0f172526ac3!8m2!3d1.3602201!4d103.9897834",7 AM - 12 AM
93,Jewel,Jumbo Seafood,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Jumbo+Seafood+-+Jewel/@1.359622,103.9901692,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3df544abfad7:0x48c5cfde35f96676!8m2!3d1.359622!4d103.9901692",10 AM - 10 PM
94,Jewel,JW360,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/JW360%C2%B0/@1.359804,103.9875784,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m8!1m2!2m1!1sJW360+Jewel+changi+airport!3m4!1s0x31da3d0496ee4129:0xd35fd8669925915d!8m2!3d1.359804!4d103.9897671",9 AM - 11 PM
95,T1,Kaffe & Toast,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.362093/103.9893189/-67,Open 24 hours
96,Jewel,Kam's Roast,Cantonese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Kam%E2%80%99s+Roast/@1.3596346,103.988026,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sKam's+Roast+Jewel+changi+airport!3m4!1s0x31da3d39fe8a773b:0x2a40cdf2627d871b!8m2!3d1.3596346!4d103.9902147",10 AM - 10 PM
97,Jewel,Kane Mochi,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Kane+Mochi/@1.3603876,103.9872948,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sKane+Mochi+Jewel+changi+airport!3m4!1s0x31da3da68cbfb2d5:0x2c1d49e36e52b8b2!8m2!3d1.3603876!4d103.9894835",7 AM - 12 AM
98,T2,Kaveri's Vegetarian Cuisine,Indian,06:00 AM-01:00 AM,https://media-cdn.tripadvisor.com/media/photo-s/08/5e/58/d7/photo0jpg.jpg,https://maps.google.com/?cid=2925715344885606908,6 AM - 1 AM
99,T2,Kedai Killiney Kopi,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#17.66/1.352732/103.990236/-67,Open 24 hours
100,T1,Killiney Kopitiam,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Killiney+Kopitiam+-+Terminal+1+Food+Gallery/@1.7238573,101.7438545,9.18z/data=!4m5!3m4!1s0x31da3c939de57e0f:0xfd461aa977736bd2!8m2!3d1.3618958!4d103.989967",Open 24 hours
101,Jewel,Kko Kko Nara,Korean,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Kko+Kko+Nara/@1.3600069,103.9872003,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sKko+Kko+Nara+Jewel+changi+airport!3m4!1s0x31da3d5e5c76b6ff:0x8ab9d73229ccbea2!8m2!3d1.3600069!4d103.989389",10 AM - 10 PM
102,T3,KOI Express,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/KOI+The+Changi+Terminal+3/@1.3555805,103.9861962,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8d0c4c6ccd:0xbcbece516c523c1a!8m2!3d1.3555805!4d103.9861962",10 AM - 11 PM
103,T3,Kopitiam,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Kopitiam+Terminal+3/@1.354371,103.9829813,17z/data=!4m8!1m2!2m1!1sKopitiam+T3+!3m4!1s0x31da3c8d5cba4991:0x41cc6f7daba7071!8m2!3d1.354371!4d103.98517",Open 24 hours
104,T2,Krispy Kreme,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3563564/103.9888974/-67,Open 24 hours
105,T3,Krispy Kreme,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3555784/103.9853478/-67,6 AM - 1 AM
106,Jewel,La Lola Churerria,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/La+Lola+Churreria/@1.360342,103.9896679,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3c8bd7a43b67:0x4abf9d067d1209e3!8m2!3d1.360342!4d103.9896679",7 AM - 12 AM
107,Jewel ,Lady M,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Lady+M+Jewel+Changi+Airport/@1.3599293,103.9898504,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3dbab7b2b23d:0x80de9bc2eab32320!8m2!3d1.3599293!4d103.9898504",10 AM - 10 PM
108,T3,Le Shrimp Ramen,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=15774440382889988495,1030 AM - 11 PM
109,Jewel,Lenu,Chinese,2-3 hours,http://www.changiairport.com/content/dam/cag/dine/1140x425/1140x425-lvl3_masthead_Lenu.jpg,"https://www.google.com/maps/place/LeNu+at+Jewel+Changi+Airport/@1.3596424,103.9894983,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d6609afae09:0x5876e5abbfd4b620!8m2!3d1.3596424!4d103.9894983",10 AM - 10 PM
110,T3,LeNu Chef Wai's Noodle Bar / Canton Paradise Noodle & Congee,Chinese,2-3 hours,http://www.changiairport.com/content/dam/cag/dine/1140x425/1140x425-lvl3_masthead_Lenu.jpg,http://www.changiairport.com/content/cag/en/maps.html#20/1.3558359/103.9854822/-67,6 AM - 1 AM
111,T3,LiHO,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/LiHO+TEA+@+T3+Airport/@1.3555805,103.9161584,12z/data=!4m8!1m2!2m1!1sLiHO+T3+!3m4!1s0x31da3d2ee22b604f:0x1038b62962e8b84e!8m2!3d1.3555805!4d103.9861962",10 AM - 11 PM
112,T4,LiHO,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/LiHO+TEA+@+T4+Airport/@1.3374519,103.9825524,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3df45fe801dd:0xef140218fe9211e5!8m2!3d1.3374519!4d103.9825524",7 AM - 11 PM
113,T2,Llaollao,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/llaollao./@1.3552684,103.9872719,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d3031e0417b:0x562b89c413412229!8m2!3d1.3552684!4d103.9894606",Open 24 hours
114,T4,London Fat Duck,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/London+Fat+Duck/@1.3372498,103.9826117,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc757db1ad7:0x2d87730173c668d0!8m2!3d1.3372498!4d103.9826117",1030 AM - 11 PM
115,T4,Ma Mum,Halal,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Ma+Mum/@1.337763,103.9830748,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc7d013542d:0xfb5b6de0fac9f2d5!8m2!3d1.337763!4d103.9830748",7 AM - 11 PM
116,T1,Ma Mum to go,Halal,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=8994948923213007397,Open 24 hours
117,Jewel,Maison De Pb,Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Maison+de+PB/@1.3606599,103.9902603,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898720f015825!4m5!3m4!1s0x31da3d5b1c0263c7:0x3e14c3878ae4f71c!8m2!3d1.3606599!4d103.9902603",10 AM - 10 PM
118,Jewel,Mala Mala,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Mala+Mala/@1.360292,103.9873768,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sMala+Mala+Jewel+changi+airport!3m4!1s0x31da3df588022e55:0x92eb24ceff2179b3!8m2!3d1.360292!4d103.9895655",7 AM - 12 AM
119,T2,McDonald's,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=5106749820079275355,Open 24 hours
120,T3,McDonald's,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=6627439354840764711,Open 24 hours
121,T4,McDonald's,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/McDonald's+Terminal+4/@1.3375447,103.9825501,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc79d0641fb:0x74f0c646daa1fbd6!8m2!3d1.3375447!4d103.9825501",Open 24 hours
122,Jewel,Mos Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/MOS/@1.360292,103.9873768,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sMos+Caf%C3%A9+Jewel+changi+airport!3m4!1s0x31da3d9bcf840d93:0xb1043904dd64ccf2!8m2!3d1.35999!4d103.9898554",7 AM - 12 AM
123,Jewel ,Mr. Bean,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Mr+Bean/@1.3603402,103.989629,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3c8c3ae9cda3:0x5259733c3199cbde!8m2!3d1.3603402!4d103.989629",7 AM - 12 AM
124,T3,Mr. Teh Tarik Express,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3571095/103.9871099/-67,Open 24 hours
125,Jewel,Mr.Coconut,Refreshments,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Mr.+Coconut/@1.3603555,103.9873236,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sMr.Coconut+Jewel+changi+airport!3m4!1s0x31da3c8bd73ac5d7:0xabe2b82fc273bde4!8m2!3d1.3603555!4d103.9895123",7 AM - 12 AM
126,T2,Nando's,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=18057685648564273108,1030 AM - 11 PM
127,Jewel,Nectar,Café/ Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Nectar/@1.3600278,103.9869226,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m8!1m2!2m1!1sNectar+Jewel+changi+airport!3m4!1s0x31da3c8bdb358e61:0xff53bdf141d8c6fe!8m2!3d1.3600278!4d103.9891113",10 AM - 10 PM
128,T1,Niigata Bento,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=2236203612079109685,Open 24 hours
129,Jewel,Nine Fresh,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Nine+Fresh/@1.3603913,103.987219,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sNine+Fresh+Jewel+changi+airport!3m4!1s0x31da3c8bd127eec1:0x85c8a0184f4f0042!8m2!3d1.3603913!4d103.9894077",7 AM - 12 AM
130,T3,O'Coffee Club,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O'Coffee+Club/@1.3552374,103.9865177,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8daa165f05:0xc93598f4e8be71f0!8m2!3d1.3552374!4d103.9865177",Open 24 hours
131,Jewel,O'Coffee Club Roastery,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O’Coffee+Club+Roastery/@1.3605071,103.9891278,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d3a6c02783d:0x150793409961d419!8m2!3d1.3605071!4d103.9891278",10 AM - 10 PM
132,T2,O'Coffee Club Xpress,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O'Coffee+Club+Express/@1.3552684,103.9872719,17z/data=!4m8!1m2!2m1!1sO'Coffee+Club+Xpress+t2!3m4!1s0x0:0x2cb3033859d0754c!8m2!3d1.3545349!4d103.9883839",Open 24 hours
133,T4,O'Coffee Club Xpress,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O%E2%80%99Coffee+Club+Xpress/@1.3375447,103.9825501,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc70acbf62b:0xfc53b1102ab46b6f!8m2!3d1.3375447!4d103.9825501",Open 24 hours
134,Jewel,O'Coffee Club Xpress,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O%E2%80%99Coffee+Club+Xpress/@1.3375447,103.9737954,15z/data=!4m8!1m2!2m1!1sO'Coffee+Club+Xpress+Jewel+changi+airport!3m4!1s0x31da3cc70acbf62b:0xfc53b1102ab46b6f!8m2!3d1.3375447!4d103.9825501",7 AM - 12 AM
