Index,Location,Name,Category,Image,Timings
55,T3,Charles & Kieth,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1056.jpg,6 AM - 1 AM
56,T4,Charles & Kieth,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-meet_greet.jpg,Open 24 Hours
57,Jewel,Charles & Kieth,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-meet_greet.jpg,6 AM - 12 AM
59,T3,Cheers,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-meet_greet.jpg,6 AM - 12 AM
60,T4,Cheers,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1437.jpg,Open 24 Hours
61,Jewel,Chocolate Origin,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/chocolate_origin_brand_logo_size_2.jpg,9 AM - 11 PM
62,T2,Chomel,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1437.jpg,Open 24 Hours
63,Jewel,Chomel,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1437.jpg,Open 24 Hours
64,Jewel,Chow Tai Fook,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1056.jpg,6 AM - 1 AM
65,Jewel,Clarks,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1056.jpg,6 AM - 1 AM
66,T1,Coach,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1056.jpg,6 AM - 12 AM
67,Jewel,Coach,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1056.jpg,10 AM - 10 PM
68,T1,Cosmetics and Perfumes by Shilla,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-cheers.jpg,Open 24 Hours
69,T2,Cosmetics and Perfumes by Shilla,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-cheers.jpg,Open 24 Hours
70,T3,Cosmetics and Perfumes by Shilla,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-cheers.jpg,Open 24 Hours
71,T4,Cosmetics and Perfumes by Shilla,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/chocolate_origin_brand_logo_size_2.jpg,9 AM - 11 PM
72,T3,Cotton On,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-chomel.jpg,7 AM - 11 PM
73,Jewel,Cotton on Kids,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-chomel.jpg,10 AM - 10 PM
74,Jewel,Crocs,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/chow_tai_fook_brand_logo_size_2.jpg,9 AM - 11 PM
75,Jewel,Cuttour Hair Studio,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/clarks_brand_logo_size_2.jpg,10 AM - 10 PM
76,Jewel,Did,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-coach.jpg,6 AM - 12 AM
77,Jewel,Daniel Wellington,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-coach.jpg,9 AM - 11 PM
78,Jewel,Denizen,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-shilla.jpg,Open 24 Hours
79,Jewel,Dermalogica,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-shilla.jpg,Open 24 Hours
80,Jewel,Diamnanti per Tutti,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-shilla.jpg,Open 24 Hours
81,Jewel,Dockers,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-shilla.jpg,Open 24 Hours
82,T3,Don Don Donki Sweet Potato Factory,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1255.jpg,10 AM - 10 PM
83,T3,Dragon Bird Bird's Nest,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/cotton_on_kids_brand_logo_size_2.jpg,10 AM - 10 PM
84,Jewel,Ducks & Crafts,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/crocs_brand_logo_size_2.jpg,10 AM - 10 PM
85,Jewel,Durasport,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/cuttour_brand_logo_size_2.png,10 AM - 10 PM
86,Jewel,Durian Mpire,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/did_brand_logo_size_2.jpg,10 AM - 10 PM
87,T3,Durain Mpire by 717 Trading,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Daniel%20Wellington_Brand%20Logo_60.jpg,9 AM - 11 PM
88,T2,E-Gadget Mini,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/denizen-logo.jpg,10 AM - 10 PM
89,T3,E-Gadget Mini,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Dermalogica_60x60.png,10 AM - 10 PM
90,T4,E-Gadget Mini,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/diamanti_logo.jpg,9 AM - 11 PM
91,Jewel,Ecco,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/dockers_brand_logo_size_2.png,10 AM - 10 PM
92,Jewel,Espirit,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1532.jpg,7 AM - 12 AM
93,Jewel,Eu San Yang,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-dragon_brand.jpg,7 AM - 11 PM
94,T1,Eu San Yang,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ducks_and_crafts_brand_logo_size_2.jpg,10 AM - 10 PM
95,T2,Eu San Yang,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/durasport_brand_logo_size_2.png,10 AM - 10 PM
96,T3,Eu San Yang,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-durian_mpire.jpg,10 AM - 10 PM
97,T4,Eu San Yang,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-durian_mpire_by_77_trading.jpg,7 AM - 11 PM
98,Jewel,Evisu,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-egadget_mini.jpg,7 AM - 11 PM
99,Jewel,Expressions,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-egadget_mini.jpg,10 AM - 11 PM
100,T3,FairPrice,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-egadget_mini.jpg,7 AM - 11 PM
101,Jewel,FairPrice,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ecco_logo.jpg,9 AM - 11 PM
102,Jewel,Fila,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/esprit_brand_logo_size_2.jpg,10 AM - 10 PM
103,Jewel,Fila Kids,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/eu_yan_sang_logo.jpg,10 AM - 10 PM
104,Jewel,Foot Locker,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1529.jpg,6 AM - 12 AM
105,Jewel,Fotohub,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1529.jpg,7 AM - 11 PM
106,Jewel,Four Seasons Durian Restaurant,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1529.jpg,10 AM - 11 PM
107,T3,Fragrance Bak Kwa,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1529.jpg,6 AM - 12 AM
108,Jewel,Franck Muller,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/evisu_brand_logo_size_2.png,9 AM - 11 PM
109,Jewel,Fred Perry,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/expressions_brand_logo_size_2.jpg,10 AM - 10 PM
110,Jewel,Furla,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-fairprice_finest.jpg,7 AM - 11 PM
111,T3,Furla,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-fairprice_finest.jpg,9 AM - 11 PM
112,Jewel,G2000,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/fila_brand_logo_size_2.jpg,10 AM - 10 PM
113,T3,Gadget Hub,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/fila_kids_logo.jpg,10 AM - 10 PM
114,T2,Gadget Plus,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/foot_locker_brand_logo_size_2.png,10 AM - 10 PM
115,Jewel,Gadget Plus,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/fotohub_brand_logo_size_1.jpg,10 AM - 10 PM
116,Jewel,Gg<5,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/Four_Seasons_Durian_%2060x60.jpg,10 AM - 2 AM
117,Jewel,Gift by Changi Airport,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-fragrance_bakkwa.jpg,7 AM - 11 PM
118,T2,Giordano,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/franck_muller_brand_logo_size_2.jpg,9 AM - 11 PM
119,T3,Giordano,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/fredperry_logo.jpg,9 AM - 11 PM
120,T4,Giordano,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/846.jpg,6 AM - 1 AM
121,Jewel,Giordano,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/846.jpg,9 AM - 11 PM
122,Jewel,Giordano Ladies,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/g2000_logo.jpg,10 AM - 10 PM
123,Jewel,GNC,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/g2000_logo.jpg,10 AM - 10 PM
