Index,Location,AccessibleTo,Category,Time,Address,Name,Timings,Image
35,T4,Public,Attractions,4-5 hours,Basement 1,Singapore Rojak,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
36,T4,Transit,Attractions,4-5 hours,Level 2,Steel in Bloom,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
37,T2,Transit,Attractions,4-5 hours,Level 3,Sunflower Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
38,T3,Transit,Attractions,4-5 hours,Level 2,The Memory of Lived Space,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
39,T3,Public,Attractions,4-5 hours,Level 1 ,The Slide@T3,12 AM - 1030 PM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
40,T1,Transit,Attractions,4-5 hours,Level 2,The Social Tree,6 AM - 1 AM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
41,Jewel,Public,Attractions,4-5 hours,Level 5,Topiary Walk,10 AM - 12 AM,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
42,T4,Transit,Attractions,4-5 hours,Level 2,Travelling Family,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
43,T3,Transit,Attractions,4-5 hours,Level 2 ,Vessel,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
44,T1,Public,Attractions,4-5 hours,Level 3,Viewing Malls 1,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
45,T2,Public,Attractions,4-5 hours,Level 3,Viewing Malls 2,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
46,T3,Public,Attractions,4-5 hours,Level 4,Viewing Malls 3,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
47,T1,Transit,Attractions,4-5 hours,Level 2,Water Lily Garden,24 hours,https://rmdgroupsd.com/wp-content/uploads/2018/11/Lumi_5thAndJ-4thfloor_View2_11-02-2018-e1543263808799.jpg
